B27,8N,B75,B26,B10,B12,B46,G12,G46,8S,H27,F26,D10,H75,GenS_NQS,GenN_NQS,GenS_Car,GenN_Car,
162,181,289,139,243,721,709,178,205,156,211,169,148,176,144,576,96,106,
154,160,131,138,168,655,689,208,193,196,189,131,151,140,104,482,137,99,
146,137,138,146,149,596,656,144,190,150,189,146,151,126,103,481,96,106,
148,156,163,147,141,566,718,170,162,162,174,128,181,128,129,485,109,94,
159,143,174,138,139,453,693,181,148,186,137,129,150,205,116,489,96,93,
137,142,130,153,199,509,596,136,208,186,143,154,191,217,101,492,160,92,
147,134,157,190,190,231,506,169,178,227,130,151,139,210,91,500,142,93,
151,139,192,204,147,192,258,125,150,211,154,201,141,248,106,529,117,98,
182,196,179,131,166,217,337,134,201,188,136,133,167,273,205,502,113,94,
130,156,143,148,199,327,207,158,241,175,217,192,157,223,195,532,95,94,
177,152,191,152,149,337,218,235,181,156,178,161,182,138,218,430,194,93,
179,124,137,139,136,227,143,163,229,149,173,194,237,153,137,428,181,93,
222,125,140,150,165,207,199,154,143,156,215,237,132,128,93,429,91,112,
126,135,173,176,150,163,152,186,148,127,185,148,167,131,100,426,108,94,
149,165,134,151,131,204,135,154,163,130,171,192,142,138,96,468,143,106,
168,193,145,133,127,231,225,185,178,136,140,151,221,157,115,436,96,100,
144,158,134,132,192,139,219,238,198,177,175,165,265,127,106,419,96,94,
126,155,129,169,199,179,313,194,197,274,175,132,146,133,103,370,95,126,
124,170,208,235,135,222,283,191,169,295,173,130,215,177,116,348,94,120,
203,149,141,273,140,257,219,170,174,330,215,245,163,195,115,330,94,98,
290,156,295,395,180,267,272,176,225,153,186,271,122,214,92,319,nan,94,
318,151,315,400,181,325,246,215,165,138,130,140,140,218,177,319,nan,99,
391,158,359,409,155,251,272,228,141,143,127,160,143,256,95,315,nan,91,
395,167,413,437,145,252,254,226,142,178,147,168,133,144,94,303,nan,98,
362,268,429,392,154,288,295,284,201,173,307,147,207,151,93,237,nan,102,
474,277,511,392,142,292,300,138,225,175,261,163,350,145,103,187,nan,94,
657,344,638,486,173,148,361,155,261,274,183,155,336,152,261,107,nan,92,
580,425,607,627,142,169,323,147,259,237,243,196,170,162,143,92,nan,92,
586,406,nan,648,144,154,318,164,216,273,270,237,164,174,178,94,nan,95,
581,548,nan,623,134,198,208,166,308,184,258,258,144,341,92,92,nan,116,
600,577,nan,689,158,265,147,208,150,135,141,253,197,148,99,100,nan,107,
658,607,nan,nan,158,311,155,239,180,200,159,183,148,127,160,118,nan,114,
621,608,nan,nan,148,301,152,129,nan,186,135,139,129,152,94,124,nan,156,
nan,601,nan,nan,205,273,158,152,nan,196,147,164,153,149,104,114,nan,145,
nan,640,nan,nan,259,375,227,192,nan,189,137,134,135,213,135,136,nan,92,
nan,nan,nan,nan,280,262,177,159,nan,188,131,167,149,207,109,150,nan,91,
nan,nan,nan,nan,296,206,159,148,nan,138,136,156,152,156,92,106,nan,98,
nan,nan,nan,nan,338,185,151,147,nan,187,137,133,170,166,98,93,nan,107,
nan,nan,nan,nan,297,159,174,nan,nan,199,117,131,140,149,107,102,nan,104,
nan,nan,nan,nan,400,176,315,nan,nan,139,127,129,nan,nan,114,109,nan,92,
nan,nan,nan,nan,398,262,432,nan,nan,139,nan,nan,nan,nan,104,106,nan,96,
nan,nan,nan,nan,455,491,763,nan,nan,141,nan,nan,nan,nan,110,118,nan,93,
